112 	Avg Reward:  0.1744384765625 	 Loss:  0.24540379643440247 	 Wins:  0.0 	 Epsilon:  0.01
113 	Avg Reward:  0.177734375 	 Loss:  0.24539785087108612 	 Wins:  0.0 	 Epsilon:  0.01
114 	Avg Reward:  0.1641845703125 	 Loss:  0.2529439330101013 	 Wins:  0.0 	 Epsilon:  0.01
115 	Avg Reward:  0.1751708984375 	 Loss:  0.2526009976863861 	 Wins:  0.0 	 Epsilon:  0.01
116 	Avg Reward:  0.178466796875 	 Loss:  0.23729826509952545 	 Wins:  0.0 	 Epsilon:  0.01
117 	Avg Reward:  0.1678466796875 	 Loss:  0.2360975742340088 	 Wins:  0.0 	 Epsilon:  0.01
118 	Avg Reward:  0.1697998046875 	 Loss:  0.2315947711467743 	 Wins:  0.11074197120708748 	 Epsilon:  0.01
119 	Avg Reward:  0.166748046875 	 Loss:  0.23846939206123352 	 Wins:  0.0 	 Epsilon:  0.01
120 	Avg Reward:  0.162353515625 	 Loss:  0.23525014519691467 	 Wins:  0.0 	 Epsilon:  0.01
121 	Avg Reward:  0.1689453125 	 Loss:  0.2373432070016861 	 Wins:  0.0 	 Epsilon:  0.01
122 	Avg Reward:  0.189453125 	 Loss:  0.24949467182159424 	 Wins:  0.0 	 Epsilon:  0.01
123 	Avg Reward:  0.171142578125 	 Loss:  0.23190763592720032 	 Wins:  0.0 	 Epsilon:  0.01
124 	Avg Reward:  0.1634521484375 	 Loss:  0.24249476194381714 	 Wins:  0.0 	 Epsilon:  0.01
125 	Avg Reward:  0.1671142578125 	 Loss:  0.24693194031715393 	 Wins:  0.0 	 Epsilon:  0.01
126 	Avg Reward:  0.1771240234375 	 Loss:  0.23983897268772125 	 Wins:  0.11325028312570781 	 Epsilon:  0.01
127 	Avg Reward:  0.182861328125 	 Loss:  0.23782595992088318 	 Wins:  0.0 	 Epsilon:  0.01
128 	Avg Reward:  0.184326171875 	 Loss:  0.23583461344242096 	 Wins:  0.0 	 Epsilon:  0.01
129 	Avg Reward:  0.1800537109375 	 Loss:  0.23419037461280823 	 Wins:  0.11428571428571428 	 Epsilon:  0.01
130 	Avg Reward:  0.167236328125 	 Loss:  0.23383615911006927 	 Wins:  0.10989010989010989 	 Epsilon:  0.01
131 	Avg Reward:  0.17626953125 	 Loss:  0.24383945763111115 	 Wins:  0.0 	 Epsilon:  0.01
132 	Avg Reward:  0.1748046875 	 Loss:  0.23183611035346985 	 Wins:  0.0 	 Epsilon:  0.01
133 	Avg Reward:  0.1737060546875 	 Loss:  0.23744067549705505 	 Wins:  0.0 	 Epsilon:  0.01
134 	Avg Reward:  0.177734375 	 Loss:  0.22676077485084534 	 Wins:  0.0 	 Epsilon:  0.01
